ACC:TESTACC,NB,NN_CID,TSF,ShapeletTransformClassifier,BayesNet,RotF,FastShapelets,RandF,SVML,MLP,LearnShapelets,DTW,WDTW,DD_DTW,Logistic,SVMQ,MSM,ERP,NN,DTD_C,BOSS,SAXVSM,C45,BOP,TWE,LCSS
AvgTESTACCOverDsets:,0.984,0.984,0.984,0.984,0.976,0.976,0.976,0.968,0.96,0.96,0.96,0.952,0.952,0.952,0.944,0.944,0.944,0.944,0.928,0.928,0.92,0.912,0.904,0.904,0.896,0.568
AvgTESTACCRankOverDsets:,2.5,2.5,2.5,2.5,6.0,6.0,6.0,8.0,10.0,10.0,10.0,13.0,13.0,13.0,16.5,16.5,16.5,16.5,19.5,19.5,21.0,22.0,23.5,23.5,25.0,26.0
StddevOfTESTACCOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTACCOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTACCRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

AvgPredTimesBenchmarked:TESTAvgPredTimesBenchmarked,ShapeletTransformClassifier,DTD_C,DD_DTW,RotF,TWE,MSM,WDTW,BOSS,FastShapelets,DTW,LCSS,TSF,ERP,RandF,BOP,SAXVSM,NN,NB,NN_CID,BayesNet,LearnShapelets,Logistic,MLP,SVMQ,SVML,C45
AvgTESTAvgPredTimesBenchmarkedOverDsets:,-743.882097,-234.362733,-52.888461,-22.391725,-21.704559,-16.765371000000002,-4.173557,-2.691549,-1.5523419999999999,-1.393692,-1.059147,-0.900029,-0.261129,-0.188974,-0.118641,-0.106498,-0.096243,-0.070646,-0.069145,-0.068107,-0.040875,-0.027764,-0.026242,-0.018331,-0.013483,-0.003202
AvgTESTAvgPredTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTAvgPredTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTAvgPredTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTAvgPredTimesBenchmarkedRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

TrainTimesBenchmarked:TRAINTrainTimesBenchmarked,ShapeletTransformClassifier,RotF,BOSS,TSF,Logistic,RandF,MLP,SVML,C45,BayesNet,SVMQ,NB,SAXVSM,NN,NN_CID,DD_DTW,DTD_C,BOP,FastShapelets,LearnShapelets,DTW,WDTW,TWE,MSM,LCSS,ERP
AvgTRAINTrainTimesBenchmarkedOverDsets:,-420240.421591,-12928.902257,-8416.139677,-5475.262893,-3991.519226,-1464.734828,-762.97028,-186.128063,-116.945188,-98.454668,-51.888414,-46.315809,-0.901751,-0.191668,-0.154992,-0.146579,-0.123348,-0.01469,-0.004185,-0.002592,1.0,1.0,1.0,1.0,1.0,1.0
AvgTRAINTrainTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,23.5,23.5,23.5,23.5,23.5,23.5
StddevOfTRAINTrainTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTRAINTrainTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTRAINTrainTimesBenchmarkedRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

MaxMemory:TESTMaxMemory,Logistic,C45,NB,BayesNet,SVML,SVMQ,NN,RandF,WDTW,DTW,TWE,MLP,LCSS,MSM,NN_CID,ERP,DD_DTW,DTD_C,TSF,LearnShapelets,FastShapelets,SAXVSM,BOSS,RotF,ShapeletTransformClassifier,BOP
AvgTESTMaxMemoryOverDsets:,12.351616,14.889128,15.39056,15.784808,16.948048,17.566152,23.159888,23.300496,23.661368,23.950216,24.243752,24.492432,24.540936,24.544184,24.9986,25.027536,25.421968,26.1516,28.603192,30.598768,31.871496,32.526664,37.105544,97.72044,991.589872,1008.109896
AvgTESTMaxMemoryRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTMaxMemoryOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTMaxMemoryOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTMaxMemoryRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

AvgPredTimes:TESTAvgPredTimes,C45,SVML,SVMQ,MLP,Logistic,LearnShapelets,BayesNet,NN_CID,NB,NN,SAXVSM,BOP,RandF,ERP,TSF,LCSS,DTW,FastShapelets,BOSS,WDTW,MSM,TWE,RotF,DD_DTW,DTD_C,ShapeletTransformClassifier
AvgTESTAvgPredTimesOverDsets:,0.003202,0.013483,0.018331,0.026242,0.027764,0.040875,0.068107,0.069145,0.070646,0.096243,0.106498,0.118641,0.188974,0.261129,0.900029,1.059147,1.393692,1.5523419999999999,2.691549,4.173557,16.765371000000002,21.704559,22.391725,52.888461,234.362733,743.882097
AvgTESTAvgPredTimesRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTAvgPredTimesOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTAvgPredTimesOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTAvgPredTimesRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

TrainTimes:TRAINTrainTimes,DTW,WDTW,TWE,MSM,LCSS,ERP,LearnShapelets,FastShapelets,BOP,DTD_C,DD_DTW,NN_CID,NN,SAXVSM,NB,SVMQ,BayesNet,C45,SVML,MLP,RandF,Logistic,TSF,BOSS,RotF,ShapeletTransformClassifier
AvgTRAINTrainTimesOverDsets:,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.002592,0.004185,0.01469,0.123348,0.146579,0.154992,0.191668,0.901751,46.315809,51.888414,98.454668,116.945188,186.128063,762.97028,1464.734828,3991.519226,5475.262893,8416.139677,12928.902257,420240.421591
AvgTRAINTrainTimesRankOverDsets:,3.5,3.5,3.5,3.5,3.5,3.5,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTRAINTrainTimesOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTRAINTrainTimesOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTRAINTrainTimesRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

