ACC:TESTACC,ShapeletTransformClassifier,NN_CID,WDTW,MSM,RotF,NN,DD_DTW,TSF,ERP,RandF,MLP,DTW,BOSS,SVMQ,DTD_C,SVML,BOP,BayesNet,NB,C45,FastShapelets,LearnShapelets,TWE,Logistic,SAXVSM,LCSS
AvgTESTACCOverDsets:,0.6875,0.6473214285714286,0.6339285714285714,0.6339285714285714,0.6205357142857143,0.6160714285714286,0.6160714285714286,0.6071428571428571,0.5982142857142857,0.59375,0.59375,0.59375,0.5803571428571429,0.5758928571428571,0.5491071428571429,0.5446428571428571,0.5133928571428571,0.5,0.4955357142857143,0.46875,0.45535714285714285,0.4375,0.4330357142857143,0.41517857142857145,0.35267857142857145,0.03125
AvgTESTACCRankOverDsets:,1.0,2.0,3.5,3.5,5.0,6.5,6.5,8.0,9.0,11.0,11.0,11.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTACCOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTACCOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTACCRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

AvgPredTimesBenchmarked:TESTAvgPredTimesBenchmarked,DTD_C,DD_DTW,TWE,ShapeletTransformClassifier,MSM,WDTW,RotF,DTW,LCSS,FastShapelets,TSF,BOSS,LearnShapelets,NB,SVMQ,SAXVSM,ERP,NN,MLP,RandF,NN_CID,BOP,BayesNet,SVML,C45,Logistic
AvgTESTAvgPredTimesBenchmarkedOverDsets:,-4034.763951,-612.762748,-250.988392,-174.429906,-174.249893,-80.301129,-67.18408,-42.878508,-31.50356,-6.718984,-5.167068,-4.11937,-1.8653849999999998,-1.236968,-0.8082,-0.54526,-0.543358,-0.458803,-0.426953,-0.392524,-0.386014,-0.277184,-0.261778,-0.109032,-0.021027,-0.018821
AvgTESTAvgPredTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTAvgPredTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTAvgPredTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTAvgPredTimesBenchmarkedRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

TrainTimesBenchmarked:TRAINTrainTimesBenchmarked,ShapeletTransformClassifier,BOSS,RotF,TSF,MLP,Logistic,RandF,SVML,C45,SVMQ,BayesNet,NB,SAXVSM,FastShapelets,NN,BOP,LearnShapelets,NN_CID,DD_DTW,DTD_C,DTW,WDTW,TWE,MSM,LCSS,ERP
AvgTRAINTrainTimesBenchmarkedOverDsets:,-424052.763593,-226295.946664,-66405.219589,-20724.250479,-13565.845271,-10224.792723,-2736.989152,-1198.994614,-918.96914,-814.173104,-709.222013,-400.725199,-0.754086,-0.399627,-0.273144,-0.247394,-0.221669,-0.1944,-0.188471,-0.186875,1.0,1.0,1.0,1.0,1.0,1.0
AvgTRAINTrainTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,23.5,23.5,23.5,23.5,23.5,23.5
StddevOfTRAINTrainTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTRAINTrainTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTRAINTrainTimesBenchmarkedRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

MaxMemory:TESTMaxMemory,NB,BayesNet,C45,WDTW,DTW,TWE,MSM,SVML,SVMQ,NN,LearnShapelets,Logistic,RandF,MLP,LCSS,NN_CID,ERP,DD_DTW,RotF,DTD_C,TSF,BOSS,SAXVSM,FastShapelets,ShapeletTransformClassifier,BOP
AvgTESTMaxMemoryOverDsets:,0.0,63.057472,63.272856,71.48784,94.210112,102.904928,118.34744,137.40596,137.40596,138.568784,175.019296,177.285264,177.285264,177.285264,182.756192,183.947536,235.093816,236.726152,368.181368,368.181368,429.295224,559.235064,595.910528,614.987032,614.987032,614.987032
AvgTESTMaxMemoryRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.5,8.5,10.0,11.0,13.0,13.0,13.0,15.0,16.0,17.0,18.0,19.5,19.5,21.0,22.0,23.0,25.0,25.0,25.0
StddevOfTESTMaxMemoryOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTMaxMemoryOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTMaxMemoryRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

AvgPredTimes:TESTAvgPredTimes,Logistic,C45,SVML,BayesNet,BOP,NN_CID,RandF,MLP,NN,ERP,SAXVSM,SVMQ,NB,LearnShapelets,BOSS,TSF,FastShapelets,LCSS,DTW,RotF,WDTW,MSM,ShapeletTransformClassifier,TWE,DD_DTW,DTD_C
AvgTESTAvgPredTimesOverDsets:,0.018821,0.021027,0.109032,0.261778,0.277184,0.386014,0.392524,0.426953,0.458803,0.543358,0.54526,0.8082,1.236968,1.8653849999999998,4.11937,5.167068,6.718984,31.50356,42.878508,67.18408,80.301129,174.249893,174.429906,250.988392,612.762748,4034.763951
AvgTESTAvgPredTimesRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTAvgPredTimesOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTAvgPredTimesOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTAvgPredTimesRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

TrainTimes:TRAINTrainTimes,DTW,WDTW,TWE,MSM,LCSS,ERP,DTD_C,DD_DTW,NN_CID,LearnShapelets,BOP,NN,FastShapelets,SAXVSM,NB,BayesNet,SVMQ,C45,SVML,RandF,Logistic,MLP,TSF,RotF,BOSS,ShapeletTransformClassifier
AvgTRAINTrainTimesOverDsets:,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.186875,0.188471,0.1944,0.221669,0.247394,0.273144,0.399627,0.754086,400.725199,709.222013,814.173104,918.96914,1198.994614,2736.989152,10224.792723,13565.845271,20724.250479,66405.219589,226295.946664,424052.763593
AvgTRAINTrainTimesRankOverDsets:,3.5,3.5,3.5,3.5,3.5,3.5,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTRAINTrainTimesOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTRAINTrainTimesOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTRAINTrainTimesRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

