ACC:TESTACC,Logistic,BOP,SVMQ,RotF,MLP,ShapeletTransformClassifier,SVML,SAXVSM,BOSS,C45,BayesNet,WDTW,TWE,RandF,DTW,MSM,NN_CID,ERP,DTD_C,TSF,FastShapelets,NN,DD_DTW,NB,LCSS,LearnShapelets
AvgTESTACCOverDsets:,0.9705882352941176,0.9411764705882353,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8529411764705882,0.8235294117647058,0.8235294117647058,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.7352941176470589,0.7352941176470589,0.7352941176470589,0.7352941176470589,0.7352941176470589,0.7352941176470589,0.7352941176470589,0.7352941176470589,0.7058823529411765,0.7058823529411765,0.5882352941176471,0.5,0.5
AvgTESTACCRankOverDsets:,1.0,2.0,4.5,4.5,4.5,4.5,7.0,8.5,8.5,11.5,11.5,11.5,11.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,22.5,22.5,24.0,25.5,25.5
StddevOfTESTACCOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTACCOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTACCRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

AvgPredTimesBenchmarked:TESTAvgPredTimesBenchmarked,DTD_C,DD_DTW,ShapeletTransformClassifier,RotF,MSM,TWE,WDTW,DTW,TSF,FastShapelets,LCSS,NN,BOSS,NN_CID,BOP,MLP,NB,ERP,BayesNet,RandF,LearnShapelets,SAXVSM,SVML,SVMQ,Logistic,C45
AvgTESTAvgPredTimesBenchmarkedOverDsets:,-502.054468,-123.746033,-74.998184,-57.852575,-54.259274,-50.598759,-41.950026,-5.161536,-4.239275,-2.911598,-2.57166,-0.827694,-0.742304,-0.374132,-0.326072,-0.295967,-0.290724,-0.249439,-0.24536,-0.181995,-0.146815,-0.126904,-0.105825,-0.088147,-0.062204,-0.003916
AvgTESTAvgPredTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTAvgPredTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTAvgPredTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTAvgPredTimesBenchmarkedRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

TrainTimesBenchmarked:TRAINTrainTimesBenchmarked,ShapeletTransformClassifier,RotF,BOSS,Logistic,BayesNet,C45,NB,TSF,MLP,RandF,SVMQ,SVML,NN,NN_CID,DD_DTW,DTD_C,FastShapelets,BOP,SAXVSM,LearnShapelets,DTW,WDTW,TWE,MSM,LCSS,ERP
AvgTRAINTrainTimesBenchmarkedOverDsets:,-338723.589867,-10080.831571,-6464.816655,-4093.470283,-3948.06252,-3892.149226,-3826.572479,-3523.742398,-1540.31551,-488.575853,-161.235521,-123.483327,-1.794989,-0.167458,-0.146897,-0.091311,-0.008877,-0.005868,-0.005677,-0.001971,1.0,1.0,1.0,1.0,1.0,1.0
AvgTRAINTrainTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,23.5,23.5,23.5,23.5,23.5,23.5
StddevOfTRAINTrainTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTRAINTrainTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTRAINTrainTimesBenchmarkedRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

MaxMemory:TESTMaxMemory,C45,NB,BayesNet,SVMQ,NN,MSM,DTD_C,Logistic,SVML,RandF,WDTW,DTW,TWE,BOSS,SAXVSM,MLP,NN_CID,LCSS,ERP,DD_DTW,TSF,RotF,LearnShapelets,FastShapelets,BOP,ShapeletTransformClassifier
AvgTESTMaxMemoryOverDsets:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.780744,20.440128,22.241648,24.675624,25.442832,40.852528,43.317928,44.666464,45.046632,64.816656,70.5502,81.669616,86.394224,265.962416,273.489288,279.62432,284.134912,284.134912,429.271728
AvgTESTMaxMemoryRankOverDsets:,4.0,4.0,4.0,4.0,4.0,4.0,4.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.5,24.5,26.0
StddevOfTESTMaxMemoryOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTMaxMemoryOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTMaxMemoryRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

AvgPredTimes:TESTAvgPredTimes,C45,Logistic,SVMQ,SVML,SAXVSM,LearnShapelets,RandF,BayesNet,ERP,NB,MLP,BOP,NN_CID,BOSS,NN,LCSS,FastShapelets,TSF,DTW,WDTW,TWE,MSM,RotF,ShapeletTransformClassifier,DD_DTW,DTD_C
AvgTESTAvgPredTimesOverDsets:,0.003916,0.062204,0.088147,0.105825,0.126904,0.146815,0.181995,0.24536,0.249439,0.290724,0.295967,0.326072,0.374132,0.742304,0.827694,2.57166,2.911598,4.239275,5.161536,41.950026,50.598759,54.259274,57.852575,74.998184,123.746033,502.054468
AvgTESTAvgPredTimesRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTAvgPredTimesOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTAvgPredTimesOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTAvgPredTimesRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

TrainTimes:TRAINTrainTimes,DTW,WDTW,TWE,MSM,LCSS,ERP,LearnShapelets,SAXVSM,BOP,FastShapelets,DTD_C,DD_DTW,NN_CID,NN,SVML,SVMQ,RandF,MLP,TSF,NB,C45,BayesNet,Logistic,BOSS,RotF,ShapeletTransformClassifier
AvgTRAINTrainTimesOverDsets:,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.001971,0.005677,0.005868,0.008877,0.091311,0.146897,0.167458,1.794989,123.483327,161.235521,488.575853,1540.31551,3523.742398,3826.572479,3892.149226,3948.06252,4093.470283,6464.816655,10080.831571,338723.589867
AvgTRAINTrainTimesRankOverDsets:,3.5,3.5,3.5,3.5,3.5,3.5,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTRAINTrainTimesOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTRAINTrainTimesOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTRAINTrainTimesRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

