ACC:TESTACC,ShapeletTransformClassifier,SAXVSM,BOSS,LearnShapelets,WDTW,SVMQ,DTD_C,FastShapelets,MSM,SVML,RandF,MLP,NN_CID,DD_DTW,BayesNet,TSF,NB,RotF,NN,DTW,ERP,C45,BOP,Logistic,LCSS,TWE
AvgTESTACCOverDsets:,0.8076923076923077,0.717948717948718,0.7051282051282052,0.6666666666666666,0.6538461538461539,0.6282051282051282,0.6282051282051282,0.6282051282051282,0.6153846153846154,0.6025641025641025,0.5897435897435898,0.5897435897435898,0.5897435897435898,0.5897435897435898,0.5769230769230769,0.5769230769230769,0.5641025641025641,0.5641025641025641,0.5641025641025641,0.5641025641025641,0.5641025641025641,0.5512820512820513,0.5512820512820513,0.5384615384615384,0.5384615384615384,0.44871794871794873
AvgTESTACCRankOverDsets:,1.0,2.0,3.0,4.0,5.0,7.0,7.0,7.0,9.0,10.0,12.5,12.5,12.5,12.5,15.5,15.5,19.0,19.0,19.0,19.0,19.0,22.5,22.5,24.5,24.5,26.0
StddevOfTESTACCOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTACCOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTACCRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

AvgPredTimesBenchmarked:TESTAvgPredTimesBenchmarked,DTD_C,DD_DTW,TWE,MSM,RotF,WDTW,ShapeletTransformClassifier,DTW,LCSS,TSF,BOSS,FastShapelets,MLP,LearnShapelets,SAXVSM,BOP,NN,ERP,NB,NN_CID,BayesNet,RandF,Logistic,SVMQ,SVML,C45
AvgTESTAvgPredTimesBenchmarkedOverDsets:,-10904.243366,-2237.225164,-791.539568,-781.794642,-367.141795,-316.358011,-176.286974,-136.799529,-50.902607,-29.359332,-13.206992,-2.863892,-2.670744,-0.998617,-0.8512,-0.798246,-0.766155,-0.665566,-0.532017,-0.495918,-0.304795,-0.199212,-0.100601,-0.084458,-0.023119,-0.004413
AvgTESTAvgPredTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTAvgPredTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTAvgPredTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTAvgPredTimesBenchmarkedRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

TrainTimesBenchmarked:TRAINTrainTimesBenchmarked,ShapeletTransformClassifier,BOSS,RotF,MLP,TSF,Logistic,BayesNet,C45,NB,RandF,SVML,SVMQ,FastShapelets,NN,DD_DTW,NN_CID,BOP,SAXVSM,DTD_C,LearnShapelets,DTW,WDTW,TWE,MSM,LCSS,ERP
AvgTRAINTrainTimesBenchmarkedOverDsets:,-362956.236952,-201205.477517,-63780.227347,-27621.650176,-10700.849614,-3420.925142,-2177.650433,-2119.849307,-1879.224579,-1012.205614,-406.465964,-324.939352,-0.641897,-0.439989,-0.305179,-0.287504,-0.235911,-0.216325,-0.175325,-0.074505,1.0,1.0,1.0,1.0,1.0,1.0
AvgTRAINTrainTimesBenchmarkedRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,23.5,23.5,23.5,23.5,23.5,23.5
StddevOfTRAINTrainTimesBenchmarkedOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTRAINTrainTimesBenchmarkedOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTRAINTrainTimesBenchmarkedRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

MaxMemory:TESTMaxMemory,NB,NN,MSM,LCSS,C45,BayesNet,SVMQ,SVML,Logistic,RandF,DTW,WDTW,TWE,LearnShapelets,BOP,MLP,NN_CID,ERP,DD_DTW,BOSS,ShapeletTransformClassifier,SAXVSM,RotF,DTD_C,TSF,FastShapelets
AvgTESTMaxMemoryOverDsets:,0.0,0.0,0.0,0.0,27.594688,27.594688,31.382296,35.791064,48.217144,51.318376,61.887872,76.274184,194.980456,275.86612,383.539432,423.429048,439.073536,545.061984,551.968456,619.938064,656.266816,656.266816,970.091224,995.68076,1025.697784,1025.697784
AvgTESTMaxMemoryRankOverDsets:,2.5,2.5,2.5,2.5,5.5,5.5,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.5,21.5,23.0,24.0,25.5,25.5
StddevOfTESTMaxMemoryOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTMaxMemoryOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTMaxMemoryRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

AvgPredTimes:TESTAvgPredTimes,C45,SVML,SVMQ,Logistic,RandF,BayesNet,NN_CID,NB,ERP,NN,BOP,SAXVSM,LearnShapelets,MLP,FastShapelets,BOSS,TSF,LCSS,DTW,ShapeletTransformClassifier,WDTW,RotF,MSM,TWE,DD_DTW,DTD_C
AvgTESTAvgPredTimesOverDsets:,0.004413,0.023119,0.084458,0.100601,0.199212,0.304795,0.495918,0.532017,0.665566,0.766155,0.798246,0.8512,0.998617,2.670744,2.863892,13.206992,29.359332,50.902607,136.799529,176.286974,316.358011,367.141795,781.794642,791.539568,2237.225164,10904.243366
AvgTESTAvgPredTimesRankOverDsets:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTESTAvgPredTimesOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTESTAvgPredTimesOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTESTAvgPredTimesRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

TrainTimes:TRAINTrainTimes,DTW,WDTW,TWE,MSM,LCSS,ERP,LearnShapelets,DTD_C,SAXVSM,BOP,NN_CID,DD_DTW,NN,FastShapelets,SVMQ,SVML,RandF,NB,C45,BayesNet,Logistic,TSF,MLP,RotF,BOSS,ShapeletTransformClassifier
AvgTRAINTrainTimesOverDsets:,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.074505,0.175325,0.216325,0.235911,0.287504,0.305179,0.439989,0.641897,324.939352,406.465964,1012.205614,1879.224579,2119.849307,2177.650433,3420.925142,10700.849614,27621.650176,63780.227347,201205.477517,362956.236952
AvgTRAINTrainTimesRankOverDsets:,3.5,3.5,3.5,3.5,3.5,3.5,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0
StddevOfTRAINTrainTimesOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AvgOfStddevsOfTRAINTrainTimesOverDsetFolds:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
StddevsOfTRAINTrainTimesRanksOverDsets:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

